"title,""jenis_bentuk_peraturan"",""pemrakarsa"",""nomor"",""tahun"",""tentang"",""tempat_penetapan"",""ditetapkan_tanggal"",""pejabat_yang_menetapkan"",""status"",""dokumen_peraturan"",""jumlah_dilihat"",""jumlah_didownload"",""tahun_pengundangan"",""nomor_pengundangan"",""nomor_tambahan"",""tanggal_pengundangan"",""pejabat_pengundangan"""																									
"Peraturan Menteri Hak Asasi Manusia Nomor 6 Tahun 2025,""PERATURAN MENTERI"",""KEMENTERIAN HAK ASASI MANUSIA"",""6"",""2025"",""Klasifikasi Arsip Kementerian Hak Asasi Manusia"",""Jakarta"",""04 Juli 2025"",""NATALIUS PIGAI"",""Berlaku"",""https://peraturan.go.id/files/Permenham-no-6-tahun-2025.pdf"",""50"",""90"",""2025"",""477"",""6"",""08 Juli 2025"",""DHAHANA PUTRA"""																									
"Peraturan Menteri Desa dan Pembangunan Daerah Tertinggal Nomor 2 Tahun 2025,""PERATURAN MENTERI"",""KEMENTERIAN DESA DAN PEMBANGUNAN DAERAH TERTINGGAL"",""2"",""2025"",""Klasifikasi Arsip di Lingkungan Kementerian Desa dan Pembangunan Daerah Tertinggal"",""Jakarta"",""20 Maret 2025"",""YANDRI SUSANTO"",""Berlaku"",""https://peraturan.go.id/files/permendespdt-no-2-tahun-2025.pdf"",""74"",""111"",""2025"",""232"",""2"",""25 Maret 2025"",""DHAHANA PUTRA"""																									
"Peraturan Menteri Koordinator Bidang Hukum, Hak Asasi Manusia, Imigrasi, dan Pemasyarakatan Nomor 1 Tahun 2025,""PERATURAN MENTERI"",""KEMENTERIAN KOORDINATOR BIDANG HUKUM, HAK ASASI MANUSIA, IMIGRASI, DAN PEMASYARAKATAN"",""1"",""2025"",""KLASIFIKASI ARSIP KEMENTERIAN KOORDINATOR BIDANG HUKUM, HAK ASASI MANUSIA, IMIGRASI, DAN PEMASYARAKARTAN"",""Jakarta"",""03 Februari 2025"",""YUSRIL IHZA MAHENDRA"",""Berlaku"",""https://peraturan.go.id/files/permenko-kumham-imipas-no-1-tahun-2025.pdf"",""122"",""152"",""2025"",""90"",""1"",""11 Februari 2025"",""DHAHANA PUTRA"""																									
"Peraturan Menteri Desa dan Pembangunan Daerah Tertinggal Nomor 8 Tahun 2025,""PERATURAN MENTERI"",""KEMENTERIAN DESA DAN PEMBANGUNAN DAERAH TERTINGGAL"",""8"",""2025"",""Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis di Lingkungan Kementerian Desa dan Pembangunan Daerah Tertinggal"",""Jakarta"",""25 Juli 2025"",""YANDRI SUSANTO"",""Berlaku"",""https://peraturan.go.id/files/permendespdt-no-8-tahun-2025.pdf"",""9"",""4"",""2025"",""559"",""8"",""31 Juli 2025"",""DHAHANA PUTRA"""																									
"Peraturan Menteri Perdagangan Nomor 7 Tahun 2025,""PERATURAN MENTERI"",""KEMENTERIAN PERDAGANGAN"",""7"",""2025"",""Jadwal Retensi Arsip Di Lingkungan Kementerian Perdagangan"",""Jakarta"",""05 Maret 2025"",""Budi Santoso"",""Berlaku"",""https://peraturan.go.id/files/permendag-no-7-tahun-2025.pdf"",""64"",""92"",""2025"",""165"",""7"",""10 Maret 2025"",""DHAHANA PUTRA"""																									
"Peraturan Menteri Keuangan Nomor 57 Tahun 2025,""PERATURAN MENTERI"",""KEMENTERIAN KEUANGAN"",""57"",""2025"",""Jenis dan Tarif atas Jenis Penerimaan Negara Bukan Pajak yang bersifat Volatil yang Berlaku pada Arsip Nasional Republik Indonesia"",""Jakarta"",""29 Juli 2025"",""SRI MULYANI INDRAWATI"",""Berlaku"",""https://peraturan.go.id/files/permenkeu-no-57+-tahun-2025.pdf"",""5"",""2"",""2025"",""566"",""57"",""01 Agustus 2025"",""DHAHANA PUTRA"""																									
"Peraturan Arsip Nasional Nomor 4 Tahun 2025,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""4"",""2025"",""Pedoman Pemanfaatan Arsip Statis"",""Jakarta"",""20 Maret 2025"",""Mego Pinandito"",""Berlaku"",""https://peraturan.go.id/files/peraturan-anri-no-4-tahun-2025.pdf"",""63"",""93"",""2025"",""210"",""4"",""21 Maret 2025"",""DHAHANA PUTRA"""																									
"Peraturan Perpustakaan Nasional Nomor 2 Tahun 2025,""PERATURAN BADAN/LEMBAGA"",""PERPUSTAKAAN NASIONAL"",""2"",""2025"",""Jadwal Retensi Arsip di Lingkungan Perpustakaan Nasional"",""Jakarta"",""26 Mei 2025"",""E. AMINUDIN AZIZ"",""Berlaku"",""https://peraturan.go.id/files/perpusnas-no-2-tahun-2025.pdf"",""30"",""27"",""2025"",""372"",""2"",""28 Mei 2025"",""DHAHANA PUTRA"""																									
"Peraturan Badan Siber dan Sandi Negara Nomor 4 Tahun 2025,""PERATURAN BADAN/LEMBAGA"",""BADAN SIBER DAN SANDI NEGARA"",""4"",""2025"",""Pencabutan Peraturan Kepala Lembaga Sandi Negara Nomor 9 Tahun 2017 tentang Jadwal Retensi Arsip Fasilitatif Lembaga Sandi Negara"",""Jakarta"",""07 Februari 2025"",""HINSA SIBURIAN"",""Berlaku"",""https://peraturan.go.id/files/peraturan-bssn-no-4-tahun-2025.pdf"",""41"",""78"",""2025"",""98"",""4"",""12 Februari 2025"",""DHAHANA PUTRA"""																									
"Peraturan Arsip Nasional Nomor 1 Tahun 2025,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""1"",""2025"",""Manajemen Risiko Pembangunan Nasional Arsip Nasional Republik Indonesia"",""Jakarta"",""04 Maret 2025"",""Mego Pinandito"",""Berlaku"",""https://peraturan.go.id/files/peraturan-anri-no-1-tahun-2025.pdf"",""32"",""57"",""2025"",""168"",""1"",""10 Maret 2025"",""DHAHANA PUTRA"""																									
"Peraturan Arsip Nasional Nomor 5 Tahun 2025,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""5"",""2025"",""Tata Naskah Dinas di Lingkungan Arsip Nasional Republik Indonesia"",""Jakarta"",""20 Maret 2025"",""Mego Pinandito"",""Berlaku"",""https://peraturan.go.id/files/peraturan-anri-no-5-tahun-2025.pdf"",""36"",""74"",""2025"",""212"",""5"",""21 Maret 2025"",""DHAHANA PUTRA"""																									
"Peraturan Badan Siber dan Sandi Negara Nomor 3 Tahun 2025,""PERATURAN BADAN/LEMBAGA"",""BADAN SIBER DAN SANDI NEGARA"",""3"",""2025"",""Pencabutan Peraturan Kepala Lembaga Sandi Negara Nomor 4 Tahun 2017 tentang Jadwal Retensi Arsip Substantif Lembaga Sandi Negara"",""Jakarta"",""07 Februari 2025"",""HINSA SIBURIAN"",""Berlaku"",""https://peraturan.go.id/files/peraturan-bssn-no-3-tahun-2025.pdf"",""36"",""59"",""2025"",""97"",""3"",""12 Februari 2025"",""DHAHANA PUTRA"""																									
"Peraturan Arsip Nasional Nomor 2 Tahun 2025,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""2"",""2025"",""Pencabutan  Peraturan Kepala Arsip Nasional Republik Indonesia Nomor 29 Tahun 2012 Tentang Petunjuk Pelaksanaan Pembuatan Analisis Jabatan di Lingkungan Arsip Nasional Republik Indonesia dan Peraturan Kepala Arsip Nasional Republik Indonesia Nomor 30 Tahun 2012 Tentang Petunjuk Pelaksanaan Analisis Beban Kerja di Lingkungan Arsip Nasional Republik Indonesia"",""Jakarta"",""04 Maret 2025"",""Mego Pinandito"",""Berlaku"",""https://peraturan.go.id/files/peraturan-anri-no-2-tahun-2025.pdf"",""28"",""49"",""2025"",""164"",""2"",""07 Maret 2025"",""DHAHANA PUTRA"""																									
"Peraturan Menteri Pemuda dan Olahraga Nomor 16 Tahun 2024,""PERATURAN MENTERI"",""KEMENTERIAN PEMUDA DAN OLAHRAGA REPUBLIK INDONESIA"",""16"",""2024"",""JADWAL RETENSI ARSIP DI LINGKUNGAN KEMENTERIAN PEMUDA DAN OLAHRAGA"",""Jakarta"",""23 Oktober 2024"",""ARIO BIMO NANDITO ARIOTEDJO"",""Berlaku"",""https://peraturan.go.id/files/permenpora-no-16-tahun-2024.pdf"",""127"",""187"",""2024"",""838"",""16"",""14 November 2024"",""ASEP N. MULYANA"""																									
"Peraturan Menteri Koordinator Bidang Politik, Hukum, Dan Keamanan Nomor 1 Tahun 2024,""PERATURAN MENTERI"",""KEMENTERIAN KOORDINATOR BIDANG POLITIK, HUKUM, DAN KEAMANAN"",""1"",""2024"",""PERUBAHAN ATAS PERATURAN MENTERI KOORDINATOR BIDANG POLITIK, HUKUM, DAN KEAMANAN NOMOR 3 TAHUN 2017 TENTANG KLASIFIKASI ARSIP DI KEMENTERIAN KOORDINATOR BIDANG POLITIK, HUKUM, DAN KEAMANAN"",""Jakarta"",""09 Januari 2024"",""MOH. MAHFUD MD"",""Berlaku"",""https://peraturan.go.id/files/permenko-polhukam-no-1-tahun-2024.pdf"",""422"",""455"",""2024"",""19"",""1"",""12 Januari 2024"",""ASEP N. MULYANA"""																									
"Peraturan Menteri Koordinator Bidang Politik, Hukum, Dan Keamanan Nomor 3 Tahun 2024,""PERATURAN MENTERI"",""KEMENTERIAN KOORDINATOR BIDANG POLITIK, HUKUM, DAN KEAMANAN"",""3"",""2024"",""PERUBAHAN ATAS PERATURAN MENTERI KOORDINATOR BIDANG POLITIK, HUKUM, DAN KEAMANAN NOMOR 4 TAHUN 2019 TENTANG PENYELENGGARAAN KEARSIPAN DI KEMENTERIAN KOORDINATOR BIDANG POLITIK, HUKUM, KEAMANAN"",""Jakarta"",""09 Januari 2024"",""MOH. MAHFUD MD"",""Berlaku"",""https://peraturan.go.id/files/permenko-polhukam-no-3-tahun-2024.pdf"",""419"",""339"",""2024"",""21"",""3"",""12 Januari 2024"",""ASEP N. MULYANA"""																									
"Peraturan Menteri Pariwisata dan Ekonomi Kreatif Nomor 5 Tahun 2024,""PERATURAN MENTERI"",""KEMENTERIAN PARIWISATA DAN EKONOMI KREATIF"",""5"",""2024"",""Jadwal Retensi Arsip"",""Jakarta"",""02 Mei 2024"",""SANDIAGA SALAHUDDIN UNO"",""Berlaku"",""https://peraturan.go.id/files/permenparekraf-no-5-tahun-2024.pdf"",""428"",""484"",""2024"",""238"",""5"",""06 Mei 2024"",""ASEP N. MULYANA"""																									
"Peraturan Menteri Transmigrasi Nomor 4 Tahun 2024,""PERATURAN MENTERI"",""KEMENTERIAN TRANSMIGRASI"",""4"",""2024"",""Klasifikasi Arsip  di Lingkungan Kementerian Transmigrasi"",""Jakarta"",""11 Desember 2024"",""M. IFTITAH S. SURYANAGARA"",""Berlaku"",""https://peraturan.go.id/files/permentrans-no-4-tahun-2024.pdf"",""110"",""154"",""2024"",""980"",""4"",""20 Desember 2024"",""20"""																									
"Peraturan Menteri Koordinator Bidang Politik, Hukum, Dan Keamanan Nomor 2 Tahun 2024,""PERATURAN MENTERI"",""KEMENTERIAN KOORDINATOR BIDANG POLITIK, HUKUM, DAN KEAMANAN"",""2"",""2024"",""JADWAL RETENSI ARSIP"",""Jakarta"",""09 Januari 2024"",""MOH. MAHFUD MD"",""Berlaku"",""https://peraturan.go.id/files/permenko-polhukam-no-2-tahun-2024.pdf"",""367"",""306"",""2024"",""20"",""2"",""12 Januari 2024"",""ASEP N. MULYANA"""																									
