id,title,jenis,nomor,tahun,status,dicabut_oleh
D0000,"Peraturan Menteri Hak Asasi Manusia Nomor 6 Tahun 2025,""PERATURAN MENTERI",PERATURAN MENTERI,6,2025,Berlaku,
D0001,"Peraturan Menteri Desa dan Pembangunan Daerah Tertinggal Nomor 2 Tahun 2025,""PERATURAN MENTERI",PERATURAN MENTERI,2,2025,Berlaku,
D0002,"Peraturan Menteri Koordinator Bidang Hukum, Hak Asasi Manusia, Imigrasi, dan Pemasyarakatan Nomor 1 Tahun 2025,""PERATURAN MENTERI",PERATURAN MENTERI,1,2025,Berlaku,
D0003,"Peraturan Menteri Desa dan Pembangunan Daerah Tertinggal Nomor 8 Tahun 2025,""PERATURAN MENTERI",PERATURAN MENTERI,8,2025,Berlaku,
D0004,"Peraturan Menteri Perdagangan Nomor 7 Tahun 2025,""PERATURAN MENTERI",PERATURAN MENTERI,7,2025,Berlaku,
D0005,"Peraturan Menteri Keuangan Nomor 57 Tahun 2025,""PERATURAN MENTERI",PERATURAN MENTERI,57,2025,Berlaku,
D0006,"Peraturan Arsip Nasional Nomor 4 Tahun 2025,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,4,2025,Berlaku,
D0007,"Peraturan Perpustakaan Nasional Nomor 2 Tahun 2025,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,2,2025,Berlaku,
D0008,"Peraturan Badan Siber dan Sandi Negara Nomor 4 Tahun 2025,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,4,2025,Berlaku,
D0009,"Peraturan Arsip Nasional Nomor 1 Tahun 2025,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,1,2025,Berlaku,
D0010,"Peraturan Arsip Nasional Nomor 5 Tahun 2025,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,5,2025,Berlaku,
